Taxon;Richness;length_min;length_max;reference;notes
Archaeognatha;495;10;12;(Arnett, 2000);
Blattodea Blaberidae;1198;2.5;75;(Arnett, 2000)/(Hogue, 1993);
Blattodea Blattidae ;2381;18;45;(Arnett, 2000);
Blattodea Cryptocercidae;594;24;29;(Arnett, 2000);
Blattodea Ectobiidae ;12;8;18;(Arnett, 2000);
Blattodea Corydiidae;247;15;24;(Arnett, 2000);Includes Nocticolidae
Coleoptera Amphizoidae;5;11;16;(Parker, 1982) ;
Coleoptera Aspidytidae;2;4.8;7;(Beutel & Leschen, 2005) ;
Coleoptera Carabidae;40000;1;85;(Beutel & Leschen, 2005) ;
Coleoptera Dytiscidae;4015;1;48;(Beutel & Leschen, 2005);
Coleoptera Gyrinidae;882;3;15;(Parker, 1982);
Coleoptera Haliplidae;218;2;6;(Parker, 1982);
Coleoptera Hygrobiidae;5;8;10;(Parker, 1982);
Coleoptera Noteridae;250;1;5.8;(Beutel & Leschen, 2005);
Coleoptera Trachypachidae;6;3.8;7;(Beutel & Leschen, 2005);
Coleoptera Cupedidae;31;5;22;(Beutel & Leschen, 2005);
Coleoptera Micromalthidae;1;1.5;2.5;(Parker, 1982);
Coleoptera Ommatidae;6;6;27;(Beutel & Leschen, 2005);
Coleoptera Lepiceridae;1;1.5;2;(Beutel & Leschen, 2005);
Coleoptera Hydroscaphidae;22;1;2;(Beutel & Leschen, 2005);
Coleoptera Sphaeriusidae;19;0.5;1.2;(Beutel & Leschen, 2005);
Coleoptera Torridincolidae;60;1;2.7;(Beutel & Leschen, 2005);
Coleoptera Aderidae;900;1;4;(Arnett et al., 2010);
Coleoptera Agyrtidae;70;4;14;(Arnett et al., eds, 2000);
Coleoptera Alexiidae;50;1.2;1.7;(Shockley, 2008);
Coleoptera Anobiidae;2084;1;9;(Parker, 1982);
Coleoptera Anthicidae;3000;1.5;15;(Parker, 1982);
Coleoptera Anthribidae;3900;1;20;(Parker, 1982);
Coleoptera_Polyphaga_ Artematopodidae;45;2.5;10;(Leschen et al., 2010);
Coleoptera Attelabidae;2500;1;18;(Parker, 1982);
Coleoptera Belidae;375;4.5;20;(Parker, 1982);
Coleoptera Biphyllidae;200;1.5;8;(Parker, 1982);
Coleoptera Boridae;4;8;25;(Arnett et al., 2010) ;
Coleoptera Bostrichidae;570;1;50;(Parker, 1982);
Coleoptera Bothrideridae;400;1.5;13;(Arnett et al., 2010);
Coleoptera Brachyceridae;385;1.5;6;(Arnett et al., 2010);
Coleoptera Brentidae;4000;3;80;(Parker, 1982);
Coleoptera Buprestidae;14700;1.5;60;(Parker, 1982);
Coleoptera Byrrhidae;430;1.5;10;(Parker, 1982);
Coleoptera Byturidae;24;2.5;8;(Parker, 1982);
Coleoptera Callirhipidae;150;9;23;(Arnett et al., 2010);
Coleoptera Cantharidae;5100;1.5;30;(Parker, 1982);
Coleoptera Cephaloidae;19;4.2;22;(Leschen et al., 2010);
Coleoptera Cerambycidae;30079;2;200;(Parker, 1982);
Coleoptera Ceratocanthidae;120;2;9;(Arnett et al., 2010);
Coleoptera Cerylonidae;450;1;4;(Parker, 1982);
Coleoptera Chelonariidae;250;2.5;10;(Parker, 1982);
Coleoptera Chrysomelidae;32500;1;40;(Parker, 1982);
Coleoptera Ciidae;650;0.5;7;(Parker, 1982);
Coleoptera Clambidae;170;0.7;2;(Parker, 1982);
Coleoptera Cleridae;3400;2;25;(Parker, 1982);
Coleoptera Coccinellidae;6000;1;10;(Parker, 1982);
Coleoptera Corylophidae;200;0.7;2.3;(Parker, 1982);
Coleoptera Cryptophagidae;600;1;4;(Parker, 1982);
Coleoptera Cucujidae;44;2.5;25;(Leschen et al., 2010);
Coleoptera Curculionidae;50615;1;55;(Parker, 1982);
Coleoptera Dascillidae;80;6;20;(Parker, 1982);
Coleoptera Dermestidae;1200;1;12;(Parker, 1982);
Coleoptera Derodontidae;30;1.5;4;(Parker, 1982);
Coleoptera Discolomatidae;400;1.1;8;(Parker, 1982);
Coleoptera Drilidae;120;3;10;(Parker, 1982);
Coleoptera Dryopidae;300;2;8;(Parker, 1982);
Coleoptera Elateridae;10000;1.5;60;(Parker, 1982);
Coleoptera Elmidae;1500;1;8;(Parker, 1982);
Coleoptera Endomychidae;1800;1;18;(Parker, 1982);
Coleoptera Epimetopidae;27;1;4;(Beutel & Leschen, 2005);
Coleoptera Erotylidae;2500;2.5;25;(Parker, 1982);
Coleoptera Eucinetidae;53;0.8;4;(Parker, 1982);
Coleoptera Eucnemidae;1500;1.5;40;(Leschen et al., 2010);
Coleoptera Eulichadidae;30;15;25;(Parker, 1982);
Coleoptera Georissidae;77;1;3;(Parker, 1982);
Coleoptera Geotrupidae;920;5;45;(Arnett et al., 2010) ;
Coleoptera Glaphyridae;204;6;20;(Arnett et al., 2010);
Coleoptera Glaresidae;57;2.5;6;(Arnett et al., 2010);
Coleoptera Helophoridae;183;2;9;(Beutel & Leschen, 2005);
Coleoptera Helotidae;107;6;16;(Parker, 1982);
Coleoptera Heteroceridae;300;1;8;(Arnett et al., 2010);
Coleoptera Histeridae;4300;0.5;20;Parker et al 82;
Coleoptera Hybosoridae;572;5;7;(Arnett et al., 2010);
Coleoptera Hydraenidae;1600;1.2;3;(Parker, 1982);
Coleoptera Hydrochidae;164;2;4;(Jäch & Balke, 2003);
Coleoptera Hydrophilidae;3400;1;40;(Parker, 1982);
Coleoptera Ithyceridae;6;12;15;(Parker, 1982);
Coleoptera Kateretidae;95;1.3;6;(Hisamatsu, 2011);
Coleoptera Laemophloeidae;430;1;5;(Arnett et al., 2010);
Coleoptera Lampyridae;2200;4;30;(Parker, 1982);
Coleoptera Languriidae;1000;1.2;25;(Parker, 1982);
Coleoptera Latridiidae;1000;1;3;(Shockley et al., 2011);
Coleoptera Leiodidae;3700;1;7;(Parker, 1982);
Coleoptera Limnichidae;390;0.8;3;(Parker, 1982);
Coleoptera Lucanidae;1489;4;80;(Parker, 1982);
Coleoptera Lutrochidae;11;3;5;(Parker, 1982);
Coleoptera Lycidae;4600;3;22;(Parker, 1982);
Coleoptera Lymexylidae;70;5;40;(Parker, 1982);
Coleoptera Mauroniscidae;26;2;4.5;(Leschen et al., 2010);
Coleoptera Melandryidae;420;1.2;19;(Parker, 1982);
Coleoptera Meloidae;3000;5;33;(Parker, 1982);
Coleoptera Melyridae;6000;1;20;(Parker, 1982);
Coleoptera Monotomidae;250;1.3;5;(Parker, 1982);
Coleoptera Mordellidae;1500;2;15;(Parker, 1982);
Coleoptera Mycetophagidae;130;0.8;6.5;(Parker, 1982);
Coleoptera Nemonychidae;70;4;6;(Parker, 1982);
Coleoptera Nitidulidae;4500;0.9;14;(Parker, 1982);
Coleoptera Nosodendridae;50;2.5;9;(Parker, 1982);
Coleoptera Ochodaeidae;110;3;10;(Arnett et al., 2010);
Coleoptera Oedemeridae;500;5;20;(Parker, 1982);
Coleoptera Omalisidae;8;3;9;(Leschen et al., 2010);
Coleoptera Omethidae;33;3;12;(Arnett et al., 2010);
Coleoptera Orsodacnidae;40;4;15;(Arnett et al., 2010);
Coleoptera Passalidae;800;18;80;(Parker, 1982);
Coleoptera Passandridae;109;3;35;(Leschen et al., 2010);
Coleoptera Perimylopidae;19;6;10;(Parker, 1982);
Coleoptera Phalacridae;640;1.2;4.5;(Parker, 1982);
Coleoptera Phengodidae;250;3;65;(Parker, 1982);
Coleoptera Phloeostichidae;14;2.4;15;(Leschen et al., 2010);
Coleoptera Phloiophilidae;1;2;3;(Parker, 1982);
Coleoptera Pleocomidae;50;15;45;(Parker, 1982);
Coleoptera Prionoceridae;160;5.5;20;(Leschen et al., 2010);
Coleoptera Propalticidae;30;1.2;1.8;(Parker, 1982);
Coleoptera Prostomidae;30;5;10;(Arnett et al., 2010);
Coleoptera Protocucujidae;7;3.5;5.8;(Leschen et al., 2010);
Coleoptera Psephenidae;290;2;7;(Parker, 1982);
Coleoptera Ptiliidae;650;0.3;2;(Parker, 1982);
Coleoptera Ptilodactylidae;500;2;16;(Parker, 1982);
Coleoptera Ptinidae;500;1;5;(Parker, 1982);
Coleoptera Pyrochroidae;167;7;18;(Parker, 1982);
Coleoptera Pythidae;23;3;20;(Parker, 1982);
