"","higher_taxon","Family","length_min","length_max","main_feeding_niche_ronquist","main_feeding_habitat_ronquist","in_IBA","n_otu","n_obs","reads"
"1","Blattodea","Blaberidae",2.5,75,NA,NA,TRUE,1,1,10
"2","Blattodea","Blattidae",18,45,NA,NA,TRUE,5,199,117936683
"3","Blattodea","Ectobiidae",8,18,NA,NA,TRUE,5,164,25282458
"4","Coleoptera","Brentidae",3,80,NA,NA,TRUE,13,105,348344
"5","Coleoptera","Melyridae",1,20,"Predator",NA,TRUE,18,116,290480
"6","Coleoptera","Ripiphoridae",2,38,NA,NA,TRUE,1,34,6013
"7","Diptera","Atelestidae",1.5,4,"Predator",NA,TRUE,2,8,4208
"8","Hemiptera","Flatidae",4,32,NA,NA,TRUE,1,3,34
"9","Hemiptera","Fulgoridae",4,100,NA,NA,TRUE,1,1,3
"10","Hymenoptera","Ichneumonidae",3,40,"Predator",NA,TRUE,3743,199,51514066
"11","Hymenoptera","Ichneumonidae",3,40,"Predator",NA,TRUE,3743,199,51514066
"12","Hymenoptera","Mymarommatidae",0.3,0.8,"Predator",NA,TRUE,3,22,762
"13","Hemiptera","Aphrophoridae",NA,NA,"Phytophagous","Plants",TRUE,15,118,862286
"14","Coleoptera","Apionidae",NA,NA,"Phytophagous","Plants",TRUE,21,78,77106
"15","Coleoptera","Malachiidae",NA,NA,"Predator","Plants",TRUE,4,22,88272
"16","Coleoptera","Rhynchitidae",NA,NA,"Phytophagous","Plants",TRUE,1,1,32
"17","Dermaptera","Spongiphoridae",NA,NA,"Saprophagous","Soil",TRUE,1,1,3659
"18","Dictyoptera","Blattidae",NA,NA,"Saprophagous","Temporary habitats",TRUE,5,199,117936683
"19","Diptera","Bolitophilidae",NA,NA,"Saprophagous","Fungi",TRUE,27,140,423776
"20","Diptera","Camillidae",NA,NA,"Saprophagous","Temporary habitats",TRUE,1,11,24086
"21","Diptera","Chamaemyiidae",NA,NA,"Predator","Plants",TRUE,31,134,778274
"22","Diptera","Cylindrotomidae",NA,NA,"Saprophagous","Soil",TRUE,4,62,151273
"23","Diptera","Diastatidae",NA,NA,"Saprophagous",NA,TRUE,12,93,88981
"24","Diptera","Ditomyiidae",NA,NA,"Saprophagous","Wood",TRUE,4,34,80304
"25","Diptera","Heleomyzidae",NA,NA,"Saprophagous","Temporary habitats",TRUE,97,199,28206919
"26","Diptera","Limoniidae",NA,NA,"Saprophagous","Soil",TRUE,208,196,20246950
"27","Diptera","Megamerinidae",NA,NA,"Predator","Wood",TRUE,1,7,5671
"28","Diptera","Opetiidae",NA,NA,"Saprophagous","Wood",TRUE,1,16,8239
"29","Diptera","Pediciidae",NA,NA,"Saprophagous","Soil",TRUE,16,145,2717211
"30","Diptera","Phaeomyiidae",NA,NA,"Saprophage-parasitoid","Soil",TRUE,1,4,19635
"31","Diptera","Tanypezidae",NA,NA,"Saprophagous","Wood",TRUE,1,3,730
