"","higher_taxon","Family","n_missing"
"1","Raphidioptera","Raphidiidae",0
"2","Siphonaptera","Ceratophyllidae",0
"3","Siphonaptera","Hystrichopsyllidae",0
"4","Strepsiptera","Elenchidae",0
"5","Strepsiptera","Halictophagidae",0
"6","Strepsiptera","Stylopidae",0
"7","Blattodea","Blaberidae",2
"8","Blattodea","Blattidae",2
"9","Blattodea","Ectobiidae",2
"10","Coleoptera","Carabidae",0
"11","Coleoptera","Dytiscidae",0
"12","Coleoptera","Aderidae",0
"13","Coleoptera","Agyrtidae",0
"14","Coleoptera","Anobiidae",0
"15","Coleoptera","Anthicidae",0
"16","Coleoptera","Anthribidae",0
"17","Coleoptera","Attelabidae",0
"18","Coleoptera","Bostrichidae",0
"19","Coleoptera","Brentidae",2
"20","Coleoptera","Buprestidae",0
"21","Coleoptera","Byrrhidae",0
"22","Coleoptera","Byturidae",0
"23","Coleoptera","Cantharidae",0
"24","Coleoptera","Cerambycidae",0
"25","Coleoptera","Cerylonidae",0
"26","Coleoptera","Chrysomelidae",0
"27","Coleoptera","Ciidae",0
"28","Coleoptera","Clambidae",0
"29","Coleoptera","Cleridae",0
"30","Coleoptera","Coccinellidae",0
"31","Coleoptera","Corylophidae",0
"32","Coleoptera","Cryptophagidae",0
"33","Coleoptera","Curculionidae",0
"34","Coleoptera","Dermestidae",0
"35","Coleoptera","Drilidae",0
"36","Coleoptera","Elateridae",0
"37","Coleoptera","Endomychidae",0
"38","Coleoptera","Erotylidae",0
"39","Coleoptera","Eucnemidae",0
"40","Coleoptera","Geotrupidae",0
"41","Coleoptera","Helophoridae",0
"42","Coleoptera","Heteroceridae",0
"43","Coleoptera","Histeridae",0
"44","Coleoptera","Hydraenidae",0
"45","Coleoptera","Hydrophilidae",0
"46","Coleoptera","Kateretidae",0
"47","Coleoptera","Laemophloeidae",0
"48","Coleoptera","Lampyridae",0
"49","Coleoptera","Latridiidae",0
"50","Coleoptera","Leiodidae",0
"51","Coleoptera","Lucanidae",0
"52","Coleoptera","Lycidae",0
"53","Coleoptera","Lymexylidae",0
"54","Coleoptera","Melandryidae",0
"55","Coleoptera","Meloidae",0
"56","Coleoptera","Melyridae",1
"57","Coleoptera","Monotomidae",0
"58","Coleoptera","Mordellidae",0
"59","Coleoptera","Mycetophagidae",0
"60","Coleoptera","Nemonychidae",0
"61","Coleoptera","Nitidulidae",0
"62","Coleoptera","Oedemeridae",0
"63","Coleoptera","Orsodacnidae",0
"64","Coleoptera","Phalacridae",0
"65","Coleoptera","Phloiophilidae",0
"66","Coleoptera","Ptiliidae",0
"67","Coleoptera","Ptinidae",0
"68","Coleoptera","Pyrochroidae",0
"69","Coleoptera","Pythidae",0
"70","Coleoptera","Ripiphoridae",2
"71","Coleoptera","Salpingidae",0
"72","Coleoptera","Scarabaeidae",0
"73","Coleoptera","Scirtidae",0
"74","Coleoptera","Scraptiidae",0
"75","Coleoptera","Silphidae",0
"76","Coleoptera","Silvanidae",0
"77","Coleoptera","Sphindidae",0
"78","Coleoptera","Staphylinidae",0
"79","Coleoptera","Staphylinidae",0
"80","Coleoptera","Staphylinidae",0
"81","Coleoptera","Staphylinidae",0
"82","Coleoptera","Staphylinidae",0
"83","Coleoptera","Staphylinidae",0
"84","Coleoptera","Staphylinidae",0
"85","Coleoptera","Staphylinidae",0
"86","Coleoptera","Staphylinidae",0
"87","Coleoptera","Staphylinidae",0
"88","Coleoptera","Staphylinidae",0
"89","Coleoptera","Staphylinidae",0
"90","Coleoptera","Staphylinidae",0
"91","Coleoptera","Staphylinidae",0
"92","Coleoptera","Staphylinidae",0
"93","Coleoptera","Staphylinidae",0
"94","Coleoptera","Staphylinidae",0
"95","Coleoptera","Staphylinidae",0
"96","Coleoptera","Tenebrionidae",0
"97","Coleoptera","Tetratomidae",0
"98","Coleoptera","Throscidae",0
"99","Coleoptera","Trogossitidae",0
"100","Coleoptera","Zopheridae",0
"101","Collembola","Entomobryidae",0
"102","Collembola","Hypogastruridae",0
"103","Collembola","Isotomidae",0
"104","Collembola","Neanuridae",0
"105","Collembola","Neelidae",0
"106","Collembola","Onychiuridae",0
"107","Collembola","Sminthuridae",0
"108","Collembola","Tomoceridae",0
"109","Dermaptera","Forficulidae",0
"110","Diplura","Campodeidae",0
"111","Diptera","Acartophthalmidae",0
"112","Diptera","Acroceridae",0
"113","Diptera","Agromyzidae",0
"114","Diptera","Anisopodidae",0
"115","Diptera","Anthomyiidae",0
"116","Diptera","Anthomyzidae",0
"117","Diptera","Asilidae",0
"118","Diptera","Asteiidae",0
"119","Diptera","Atelestidae",1
"120","Diptera","Aulacigastridae",0
"121","Diptera","Bibionidae",0
"122","Diptera","Bombyliidae",0
"123","Diptera","Calliphoridae",0
"124","Diptera","Carnidae",0
"125","Diptera","Cecidomyiidae",0
"126","Diptera","Ceratopogonidae",0
"127","Diptera","Chaoboridae",0
"128","Diptera","Chironomidae",0
"129","Diptera","Chloropidae",0
"130","Diptera","Chyromyidae",0
"131","Diptera","Clusiidae",0
"132","Diptera","Coelopidae",0
"133","Diptera","Conopidae",0
"134","Diptera","Culicidae",0
"135","Diptera","Diadocidiidae",0
"136","Diptera","Dixidae",0
"137","Diptera","Dolichopodidae",0
"138","Diptera","Drosophilidae",0
"139","Diptera","Dryomyzidae",0
"140","Diptera","Empididae",0
"141","Diptera","Ephydridae",0
"142","Diptera","Fanniidae",0
"143","Diptera","Hippoboscidae",0
"144","Diptera","Hybotidae",0
"145","Diptera","Keroplatidae",0
"146","Diptera","Lauxaniidae",0
"147","Diptera","Lonchaeidae",0
"148","Diptera","Lonchopteridae",0
"149","Diptera","Micropezidae",0
"150","Diptera","Milichiidae",0
"151","Diptera","Muscidae",0
"152","Diptera","Mycetophilidae",0
"153","Diptera","Mythicomyiidae",0
"154","Diptera","Odiniidae",0
"155","Diptera","Oestridae",0
"156","Diptera","Opomyzidae",0
"157","Diptera","Pachyneuridae",0
"158","Diptera","Pallopteridae",0
"159","Diptera","Periscelididae",0
"160","Diptera","Phoridae",0
"161","Diptera","Piophilidae",0
"162","Diptera","Pipunculidae",0
"163","Diptera","Platypezidae",0
"164","Diptera","Platystomatidae",0
"165","Diptera","Psilidae",0
"166","Diptera","Psychodidae",0
"167","Diptera","Ptychopteridae",0
"168","Diptera","Rhagionidae",0
"169","Diptera","Rhinophoridae",0
"170","Diptera","Sarcophagidae",0
"171","Diptera","Scathophagidae",0
"172","Diptera","Scatopsidae",0
"173","Diptera","Scenopinidae",0
"174","Diptera","Sciaridae",0
"175","Diptera","Sciomyzidae",0
"176","Diptera","Sepsidae",0
"177","Diptera","Simuliidae",0
"178","Diptera","Sphaeroceridae",0
"179","Diptera","Stratiomyidae",0
"180","Diptera","Strongylophthalmyiidae",0
"181","Diptera","Syrphidae",0
"182","Diptera","Tabanidae",0
"183","Diptera","Tachinidae",0
